직책,회사,위치,URL
('백엔드 리드 엔지니어의 전체 세부 정보', '로민', '서울 서초구', 'https://kr.indeed.com//rc/clk?jk=bc0fdcff43b3754f&fccid=0d0806ee63249f1f&vjs=3')
('DNN 모델 개발 엔지니어의 전체 세부 정보', '딥엑스', '성남 분당구', 'https://kr.indeed.com//rc/clk?jk=303d8c644a5f2e0f&fccid=e34932b8232a173b&vjs=3')
('[올라핀테크] 핀테크 플랫폼 Python(파이썬) 개발자의 전체 세부 정보', '주식회사 올라핀테크 관심기업', '서울 논현동', 'https://kr.indeed.com//rc/clk?jk=83afc0063130f3f2&fccid=ee9199e84b45d22f&vjs=3')
('ETF운용팀 (신입사원-대리급)의 전체 세부 정보', '신한자산운용', '대한민국', 'https://kr.indeed.com//rc/clk?jk=c2ceb8ea88cc3e83&fccid=d93d518e8dbb7037&vjs=3')
('[금융공학연구소] 신입 및 경력직원의 전체 세부 정보', '한국자산평가', '서울 종로구', 'https://kr.indeed.com//rc/clk?jk=f1a0b13fb3d9bdbd&fccid=413114278f3d6174&vjs=3')
('Ultrasound Engineer (Junior)의 전체 세부 정보', '지멘스헬시니어스', '성남 분당구', 'https://kr.indeed.com//rc/clk?jk=d92a8621a2c7f500&fccid=063f4bc515f1af73&vjs=3')
('23년 9월 비상교육 IT직무 수시채용(경력)의 전체 세부 정보', '비상교육', '대한민국', 'https://kr.indeed.com//rc/clk?jk=cc14f299e5fcea58&fccid=b787a1d701399504&vjs=3')
('백엔드  프론트엔드 개발자 신입/경력의 전체 세부 정보', '컴팩', '서울 금천구', 'https://kr.indeed.com//rc/clk?jk=2266f1e3ced4b954&fccid=60b8b68b72896c74&vjs=3')
('Software Engineer  Perception - Autonomous Vehicles의 전체 세부 정보', 'NVIDIA', '서울', 'https://kr.indeed.com//rc/clk?jk=4d8738c28375cf32&fccid=c267f29f0f85e8b8&vjs=3')
('미래 인재 DB[신입]의 전체 세부 정보', '현대자동차그룹', '대한민국', 'https://kr.indeed.com//rc/clk?jk=48887cfdd68e6335&fccid=980d6ecc399a3373&vjs=3')
('[데브시스터즈] Data Platform Software Engineer (Senior/Junior)의 전체 세부 정보', '데브시스터즈', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=d832eb50f24e4587&fccid=58a9a803698a0afd&vjs=3')
('[Migaloo (NFT Metaverse)] Sandbox Tool Programmer - 체험형 인턴 (신입 / 계약직)의 전체 세부 정보', 'KRAFTON', '서울', 'https://kr.indeed.com//rc/clk?jk=c89a4408dde6dcbc&fccid=71c5bb3a87fe9ecf&vjs=3')
('2023년 하반기 R&D / 데이터사이언티스의 전체 세부 정보', '반프', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=f0b7b40b0158e55b&fccid=01f43887b512a31e&vjs=3')
('SQL  Python 기반 Data Engineer(경력직) 채용의 전체 세부 정보', '파인트리파트너스 주식회사 관심기업', '서울 도화동', 'https://kr.indeed.com//rc/clk?jk=1720b452301b54aa&fccid=4c458be029af0a85&vjs=3')
('[SDV] Data Scientist[연구원  책임연구원]의 전체 세부 정보', '현대자동차그룹', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=020aee8f471db6e8&fccid=980d6ecc399a3373&vjs=3')
